pravna_forma,nazov_meno,adresa,mesto,okres,kraj,telefonne_cislo,mail,bankove_spojenie,ico,dic
PO,HORVATHOVA ADRIANA,Lietavská,Hrušov,Veľký Krtíš,Banskobystrický kraj,"421,900,411,852",egestas@ac.edu,476716104/8029,12345838,1234569331
PO,HORVATHOVA MONIKA,Líščie údolie,Hrušov,Rožňava,Košický kraj,"421,921,240,796",vitae@ipsum.org,160467668/0081,12345839,1234569340
PO,HORVATOVA DIANA,M. C. Sklodowskej,Hrušovany,Topoľčany,Nitriansky kraj,"421,910,291,381",nibh.Phasellus.nulla@elitpellentesque.edu,010643415/9935,12345840,1234569349
PO,HRABOVSKA KATARINA,Macharova,Hrušovo,Rimavská Sobota,Banskobystrický kraj,"421,969,395,573",tellus.faucibus.leo@dui.org,139880476/1629,12345841,1234569358
PO,Hradileková Dagmar,Mamateyova,Hruštín,Námestovo,Žilinský kraj,"421,909,939,189",ultricies.ligula@sedturpis.org,021333176/6220,12345842,1234569367
PO,HREHOROVSKA MILENA,Mariánska,Hubice,Dunajská Streda,Trnavský kraj,"421,999,520,195",interdum.Nunc@adipiscing.ca,138862131/0139,12345843,1234569376
PO,HRICAKOVA JARMILA,Markova,Hubina,Piešťany,Trnavský kraj,"421,963,993,197",eu.elit.Nulla@neque.ca,678172697/9251,12345844,1234569385
PO,HRICKO JOZEF,Martinengova,Hubošovce,Sabinov,Prešovský kraj,"421,916,577,962",Cum.sociis.natoque@Pellentesquehabitant.ca,637762099/3835,12345845,1234569394
PO,HRIVIKOVA JANA,Michalská,Hubová,Ružomberok,Žilinský kraj,"421,964,599,359",leo.Cras.vehicula@a.org,909438206/0375,12345846,1234569403
PO,HRNCIAROVA ANNA,Mierová,Hubovo,Rimavská Sobota,Banskobystrický kraj,"421,998,864,216",inceptos.hymenaeos.Mauris@ipsumprimis.ca,267666466/0774,12345847,1234569412
PO,HROBARIKOVA EVA,Mikuláša Schneidra-Trnavského,Hucín,Revúca,Banskobystrický kraj,"421,978,152,270",egestas.hendrerit@Aliquamrutrumlorem.edu,278873616/3868,12345848,1234569421
PO,HROBAROVA BEATA,Miletičova,Hudcovce,Humenné,Prešovský kraj,"421,941,119,348",feugiat@conguea.org,833856461/9953,12345849,1234569430
PO,HRONCEKOVA NORA,Mladej gardy,Hul,Nové Zámky,Nitriansky kraj,"421,986,130,282",pede@Crasloremlorem.org,637832999/6396,12345850,1234569439
PO,HRUBOVSKA ANTONIA,Mlynarovičova,Humenné,Humenné,Prešovský kraj,"421,983,412,087",Sed@a.com,985818811/0606,12345851,1234569448
PO,HRUBY RADOVAN,Mlynské Nivy,Huncovce,Kežmarok,Prešovský kraj,"421,956,453,228",blandit.congue@at.org,923385081/0756,12345852,1234569457
PO,Hržičová Jana,Májová,Hunkovce,Svidník,Prešovský kraj,"421,974,931,341",Aliquam@dolordapibusgravida.org,881261474/1792,12345853,1234569466
PO,HUDCOVSKY JOZEF,Márie Medveďovej,Chmiňany,Prešov,Prešovský kraj,"421,918,110,249",tincidunt.pede.ac@famesac.org,503934745/1446,12345854,1234569475
PO,HYMPAN JAROSLAV,Mýtna,Choča,Zlaté Moravce,Nitriansky kraj,"421,982,539,222",neque.In@dolordapibusgravida.ca,323356438/9708,12345855,1234569484
PO,CHAMILOVA JANA,Na jarku,Chocholná-Velčice,Trenčín,Trenčiansky kraj,"421,976,785,847",Integer@Crasegetnisi.edu,305085235/2165,12345856,1234569493
PO,CHMELIKOVA MARIA,Nábrežná,Choňkovce,Sobrance,Košický kraj,"421,957,912,357",vulputate@mi.edu,200890576/3828,12345857,1234569502
PO,CHOVANCOVA DARINA,Nitrianska,Chorvátsky Grob,Senec,Bratislavský kraj,"421,957,440,246",risus@lobortis.edu,386999894/6005,12345858,1234569511
PO,CHOVANOVA VLASTA,Novobanská,Chorváty,Košice-okolie,Košický kraj,"421,905,410,574",est.Mauris.eu@nonleo.com,706588274/2899,12345859,1234569520
PO,CHUDA JAN,Obchodná,Chotča,Stropkov,Prešovský kraj,"421,930,930,876",non.luctus.sit@neque.org,152746860/2652,12345860,1234569529
PO,ILLES ROBERT,Okrajová (Bratislava)Okrajová,Chotín,Komárno,Nitriansky kraj,"421,960,923,115",lorem@massa.com,141717824/5463,12345861,1234569538
PO,Ingrová Simone,Oleandrová,Chrabrany,Topoľčany,Nitriansky kraj,"421,986,440,860",dictum@ametdapibus.org,422440781/2379,12345862,1234569547
PO,IVANEK MARIAN,Ondavská,Chrámec,Rimavská Sobota,Banskobystrický kraj,"421,969,338,971",cursus.Nunc.mauris@felis.edu,967215829/9853,12345863,1234569556
PO,IVANKOVA IVETA,Opálová,Chrastince,Veľký Krtíš,Banskobystrický kraj,"421,906,760,428",sed.sem.egestas@aptent.org,145661428/1836,12345864,1234569565
PO,JACINOVA ANDREA,Osijecká,Chrastné,Košice-okolie,Košický kraj,"421,985,622,210",mollis.Integer.tincidunt@ultricesVivamusrhoncus.org,378068771/0089,12345865,1234569574
PO,JAKOBEIOVA MAGDALENA,Osuského,Chrasť nad Hornádom,Spišská Nová Ves,Košický kraj,"421,993,572,402",mollis.non.cursus@nibh.org,125450773/7226,12345866,1234569583
PO,Jakubíková Hedviga,Očovská,Chrenovec-Brusno,Prievidza,Trenčiansky kraj,"421,959,172,750",ullamcorper@dictum.ca,955174103/1054,12345867,1234569592
PO,JANCO STANISLAV,Pajštúnska,Chropov,Skalica,Trnavský kraj,"421,992,297,557",nisl.Nulla.eu@mus.ca,431555742/4296,12345868,1234569601
PO,JANIS LADISLAV,Palisády,Chrťany,Veľký Krtíš,Banskobystrický kraj,"421,945,432,908",massa.lobortis@pellentesqueSed.com,857879417/9896,12345869,1234569610
PO,JANOCKOVA MARIA,Palkovičova (Bratislava)Palkovičova,Chtelnica,Piešťany,Trnavský kraj,"421,902,591,118",nulla.Cras.eu@lobortisrisus.com,685755299/7819,12345870,1234569619
PO,JANOSIKOVA MARIA,Panenská,Ivanice,Rimavská Sobota,Banskobystrický kraj,"421,973,592,900",sociis.natoque.penatibus@vitaepurusgravida.org,669580873/5358,12345871,1234569628
PO,JANOVICOVA ZUZANA,Pankúchova,Ivanka pri Dunaji,Senec,Bratislavský kraj,"421,971,307,170",dolor.nonummy.ac@eratvolutpatNulla.com,471929236/7198,12345872,1234569637
PO,JANTOSIK JURAJ,Panská,Ivanka pri Nitre,Nitra,Nitriansky kraj,"421,950,959,947",ultrices.iaculis.odio@iaculis.edu,931301775/5974,12345873,1234569646
PO,JARABKOVA MARGITA,Panónska cesta,Ivanovce,Trenčín,Trenčiansky kraj,"421,900,275,290",sollicitudin.commodo@Nulla.ca,547563615/8511,12345874,1234569655
PO,JAROSCAK RADOVAN,Partizánska,Iža,Komárno,Nitriansky kraj,"421,993,705,171",congue@auctorMaurisvel.ca,382751111/4455,12345875,1234569664
PO,Jarošová Anna,Pekníkova,Jabloň,Humenné,Prešovský kraj,"421,992,747,907",scelerisque.dui.Suspendisse@maurisa.edu,646412970/3669,12345876,1234569673
PO,JERGOVA LYDIA,Pečnianska,Jabloňovce,Levice,Nitriansky kraj,"421,970,768,798",nisl.Quisque.fringilla@eget.edu,534454050/5623,12345877,1234569682
FO,JEZIK LUBOMIR,Pifflova,Jacovce,Topoľčany,Nitriansky kraj,"421,901,672,431",lacus.Quisque@gravida.com,851740430/0664,12345878,1234569691
FO,JEZKOVA KATARINA,Planckova,Jahodná,Dunajská Streda,Trnavský kraj,"421,928,996,793",neque.non@nisl.org,626802352/5213,12345879,1234569700
FO,Ježová Alexandra,Pobrežná (Bratislava)Pobrežná,Jaklovce,Gelnica,Košický kraj,"421,908,730,857",feugiat.Sed@blandit.ca,792421048/4427,12345880,1234569709
FO,JILEKOVA VALERIA,Pod Glavicou,Jakovany,Sabinov,Prešovský kraj,"421,958,911,291",pretium@purusMaecenaslibero.ca,523160438/4620,12345881,1234569718
FO,JOCHOVA DARINA,Pod krížom,Jakubany,Stará Ľubovňa,Prešovský kraj,"421,920,157,144",elementum.dui@elementum.edu,882010945/2556,12345882,1234569727
FO,JOMBIK PETER,Poloreckého,Jakubov,Malacky,Bratislavský kraj,"421,987,466,956",quam@elementumategestas.ca,301576817/4218,12345883,1234569736
FO,JOSAY GABRIEL,Pri pasienku,Jakubova Voľa,Sabinov,Prešovský kraj,"421,916,835,037",vehicula.risus.Nulla@arcuVivamussit.com,164363293/4929,12345884,1234569745
FO,JULIUS DE RIGGO,Pri Starom háji,Jakubovany,Liptovský Mikuláš,Žilinský kraj,"421,935,737,501",vulputate@a.com,544018024/8929,12345885,1234569754
FO,JUNAS RADOVAN,Pri seči,Jakubovany,Sabinov,Prešovský kraj,"421,924,323,481",molestie.tellus.Aenean@iaculis.edu,772853507/1391,12345886,1234569763
FO,JURASKOVA JANA,Pri šanci,Jakušovce,Stropkov,Prešovský kraj,"421,991,006,363",dignissim.lacus@VivamusrhoncusDonec.com,630826376/5677,12345887,1234569772
FO,JURCAGA FRANTISEK,Pribinova,Jalová,Snina,Prešovský kraj,"421,914,698,841",morbi@adipiscinglacus.edu,067364182/7187,12345888,1234569781
FO,JURCIKOVA LUBA,Prokofievova,Jalovec,Prievidza,Trenčiansky kraj,"421,944,256,267",posuere@ac.org,890806215/5792,12345889,1234569790
FO,KACMARIKOVA ANDREA,Prokopova,Jalovec,Liptovský Mikuláš,Žilinský kraj,"421,962,537,783",nec.quam.Curabitur@arcu.ca,449220893/4353,12345890,1234569799
FO,KADERJAKOVA PETRA,Radlinského,Jalšové,Hlohovec,Trnavský kraj,"421,930,530,983",dictum.ultricies@noncursus.edu,624403401/5747,12345891,1234569808
FO,KAHANCOVA EDITA,Rajčianska,Jalšovík,Krupina,Banskobystrický kraj,"421,993,289,915",leo@nonlorem.com,394329712/9109,12345892,1234569817
FO,KALAFUSOVA LUDMILA,Račianska,Jamník,Liptovský Mikuláš,Žilinský kraj,"421,918,536,932",mattis@sapien.ca,552089333/3674,12345893,1234569826
FO,KALAFUSOVA RENATA,Repková,Jamník,Spišská Nová Ves,Košický kraj,"421,966,579,501",Integer.mollis@ante.org,832305258/4466,12345894,1234569835
FO,KALANINOVA JANA,Romanova,Janice,Rimavská Sobota,Banskobystrický kraj,"421,945,958,034",dapibus.quam@Inat.com,668753384/1774,12345895,1234569844
FO,KALINA PAVOL,Rovniankova,Janík,Košice-okolie,Košický kraj,"421,963,471,047",ac.libero.nec@accumsan.org,011850273/2367,12345896,1234569853
FO,KALINA PETER,Rusovská cesta,Janíky,Dunajská Streda,Trnavský kraj,"421,969,626,176",non.justo.Proin@dictumProineget.edu,212879466/0998,12345897,1234569862
FO,KALO PAVEL,Röntgenova,Jankovce,Humenné,Prešovský kraj,"421,911,394,928",diam.vel.arcu@turpisvitaepurus.edu,315166275/8875,12345898,1234569871
FO,KANAT DUSAN,Sasinkova,Janov,Prešov,Prešovský kraj,"421,974,460,057",pede@sedsapienNunc.ca,209871090/7953,12345899,1234569880
FO,KANIANSKA DANICA,Sedlárska,Janova Lehota,Žiar nad Hronom,Banskobystrický kraj,"421,956,566,680",adipiscing.Mauris@lorem.edu,553547609/2610,12345900,1234569889
FO,Kantorová Ema,Slatinská,Janovce,Bardejov,Prešovský kraj,"421,972,094,748",sit.amet@velmaurisInteger.edu,209061050/8708,12345901,1234569898
FO,KAPITANOVA ANNA,Slavónska,Jánovce,Galanta,Trnavský kraj,"421,921,929,595",sapien@orci.org,787223858/2242,12345902,1234569907
FO,KARAMAN ANDREJ,Sleďová,Jánovce,Poprad,Prešovský kraj,"421,973,655,485",tincidunt.adipiscing@metusfacilisis.edu,179372362/0835,12345903,1234569916
FO,KARASINSKA KATARINA,Sládkovičova,Janovík,Prešov,Prešovský kraj,"421,972,063,283",ipsum.ac@velitSedmalesuada.com,812909772/9004,12345904,1234569925
FO,Karasová Slávka,Slávičie údolie,Jarabá,Brezno,Banskobystrický kraj,"421,919,426,262",turpis.non.enim@nequevenenatislacus.org,927359043/8675,12345905,1234569934
FO,KAROVICOVA MARIA,Smaragdová,Jarabina,Stará Ľubovňa,Prešovský kraj,"421,909,080,701",vitae.semper@ullamcorpernisl.ca,974223452/5592,12345906,1234569943
FO,KLEPOCH JURAJ,Smolenická,Jarok,Nitra,Nitriansky kraj,"421,981,624,829",volutpat@Sed.edu,783833006/5070,12345907,1234569952
FO,KLIMOVA ELEONORA,Sosnová,Jarovnice,Sabinov,Prešovský kraj,"421,999,866,956",magnis.dis.parturient@idnunc.ca,367126869/1936,12345908,1234569961
FO,Klinovská Zlatica,Starhradská,Jasenica,Považská Bystrica,Trenčiansky kraj,"421,991,129,036",pellentesque@Namligula.org,182010958/2883,12345909,1234569970
FO,KOPACIK STANISLAV,Starohájska,Jasenie,Brezno,Banskobystrický kraj,"421,954,835,824",amet.metus@lobortisaugue.org,543357928/1878,12345910,1234569979
FO,KOPASOVA ANNA,Staromestská,Jasenov,Humenné,Prešovský kraj,"421,906,084,906",ac@uterosnon.org,787159070/2798,12345911,1234569988
FO,Koprušáková Monika,Staré grunty,Jasenov,Sobrance,Košický kraj,"421,993,050,609",non@semconsequatnec.edu,527462995/4756,12345912,1234569997
FO,KORENKO VILIAM,Strečnianska,Jasenová,Dolný Kubín,Žilinský kraj,"421,931,436,507",vel.nisl@ProinvelitSed.edu,675363134/6354,12345913,1234570006
FO,Korpášová Andrea,Tematínska,Jasenovce,Vranov nad Topľou,Prešovský kraj,"421,993,859,880",Integer.sem@nequeNullam.ca,382367632/2612,12345914,1234570015
FO,Kotuľáková Jana,Tilgnerova,Jasenové,Žilina,Žilinský kraj,"421,960,790,004",orci.consectetuer@amet.com,260836589/1115,12345915,1234570024
FO,KOVACIKOVA ANETTA,Toplianska,Jasenovo,Turčianske Teplice,Žilinský kraj,"421,939,171,119",nisi.a@magnisdisparturient.edu,689223047/6230,12345916,1234570033
FO,KOVACIKOVA MARIA,Topoľčianska,Jaslovské Bohunice,Trnava,Trnavský kraj,"421,914,754,351",nulla@sed.edu,566788386/6525,12345917,1234570042
FO,KOZAKOVA DANA,Toryská,Jasov,Košice-okolie,Košický kraj,"421,950,104,506",Integer@nuncrisusvarius.edu,446503495/6251,12345918,1234570051
FO,KOZAROVA MARIA,Tupolevova,Jasová,Nové Zámky,Nitriansky kraj,"421,945,895,043",eu.lacus@mollisnoncursus.ca,024329986/8707,12345919,1234570060
FO,KRAJCIOVA MARTINA,Turnianska,Jastrabá,Žiar nad Hronom,Banskobystrický kraj,"421,907,138,739",habitant.morbi.tristique@sagittisNullam.com,472727293/2272,12345920,1234570069
FO,KRAJCOVA JANA,Urpínska,Jastrabie nad Topľou,Vranov nad Topľou,Prešovský kraj,"421,978,219,668",taciti.sociosqu@Aliquamgravidamauris.org,845355508/8987,12345921,1234570078
FO,KRAJNAK VILIAM,Vavilovova,Jastrabie pri Michalovciach,Michalovce,Košický kraj,"421,947,357,328",orci.Donec.nibh@facilisisvitae.edu,675640377/6495,12345922,1234570087
FO,KUBINAKOVA TEKLA,Ventúrska,Jatov,Nové Zámky,Nitriansky kraj,"421,939,403,296",Sed.et@et.ca,728446890/4464,12345923,1234570096
FO,KUBIS VOJTECH,Viedenská cesta,Javorina (vojenský obvod),Kežmarok,Prešovský kraj,"421,983,788,151",nec.diam.Duis@adipiscingelit.edu,344110977/3710,12345924,1234570105
FO,KUBJATKOVA MAGDALENA,Vilová,Jazernica,Turčianske Teplice,Žilinský kraj,"421,920,721,015",vestibulum@estmollisnon.edu,475432616/1850,12345925,1234570114
FO,KUBOVCAKOVA MARIANNA,Vlárska,Jedlinka,Bardejov,Prešovský kraj,"421,910,429,356",leo@ipsumSuspendissesagittis.org,895448980/1898,12345926,1234570123
FO,KUCEROVA ANNA,Vodárenská,Jedľové Kostoľany,Zlaté Moravce,Nitriansky kraj,"421,950,152,369",scelerisque.scelerisque@sodales.com,535630494/7119,12345927,1234570132
FO,KUCEROVA ANNA,Vranovská,Jelenec,Nitra,Nitriansky kraj,"421,913,125,230",luctus.et@gravidanon.ca,827326371/7605,12345928,1234570141
FO,KUDLACOVA MARTINA,Vyšehradská,Jelka,Galanta,Trnavský kraj,"421,954,630,131",faucibus.leo.in@nibhAliquam.org,624609956/3502,12345929,1234570150
FO,KUHNELOVA VIERA,Vážska,Jelšava,Revúca,Banskobystrický kraj,"421,910,593,734",metus@montesnasceturridiculus.ca,083171445/6194,12345930,1234570159
FO,KUCHAR MARIAN,Vígľašská,Jelšovce,Nitra,Nitriansky kraj,"421,925,224,870",tellus@at.ca,261327564/5631,12345931,1234570168
FO,KUCHTOVA KATARINA,Wolkrova,Jelšovec,Lučenec,Banskobystrický kraj,"421,981,416,612",justo.Praesent@mi.edu,367498239/0534,12345932,1234570177
FO,Kukumberg Peter,Zadunajská cesta,Jenkovce,Sobrance,Košický kraj,"421,907,737,090",nunc.sed@senectusetnetus.com,006958661/8465,12345933,1234570186
FO,KUKUMBERG RICHARD,Znievska,Jesenské,Levice,Nitriansky kraj,"421,908,557,462",Aenean.gravida@Phasellusfermentumconvallis.org,921235919/9922,12345934,1234570195
FO,KURCA EGON,Zochova,Jesenské,Rimavská Sobota,Banskobystrický kraj,"421,953,643,621",feugiat.Lorem.ipsum@accumsan.ca,927277337/9136,12345935,1234570204
FO,KURUCOVA EVA,Záporožská,Jestice,Rimavská Sobota,Banskobystrický kraj,"421,952,866,841",ipsum.primis@adipiscingelit.com,320979192/5426,12345936,1234570213
FO,KYCINA MARIAN,Údernícka,Ješkova Ves,Partizánske,Trenčiansky kraj,"421,913,499,925",justo.Proin@pharetra.ca,415634807/5819,12345937,1234570222
FO,KYSELOVA JANA,Čapajevova,Jezersko,Kežmarok,Prešovský kraj,"421,917,917,535",interdum@etrutrum.edu,600063273/0750,12345938,1234570231
FO,KYSELOVA TATIANA,Černyševského,Jovice,Rožňava,Košický kraj,"421,978,673,817",elementum.at.egestas@nisiAeneaneget.org,905279336/6847,12345939,1234570240
FO,LABAJ VLADIMIR,Čiernovodská,Kamanová,Topoľčany,Nitriansky kraj,"421,916,784,954",Pellentesque@lectusasollicitudin.ca,605792802/4442,12345940,1234570249
FO,LACIOVA ANNA,Ľubietovská,Kamenec pod Vtáčnikom,Prievidza,Trenčiansky kraj,"421,903,264,041",erat.vel.pede@velit.com,859359311/1044,12345941,1234570258
FO,LAZAROVA EVA,Ľubovnianska,Kamenica,Sabinov,Prešovský kraj,"421,989,195,363",odio@ligula.com,612198255/2743,12345942,1234570267
FO,LAZAROVA GABRIELA,Šafranová,Kamenica nad Cirochou,Humenné,Prešovský kraj,"421,930,478,411",consectetuer@nibh.org,987406009/5926,12345943,1234570276
FO,LELKOVA MARTA,Šancová,Kamenica nad Hronom,Nové Zámky,Nitriansky kraj,"421,992,797,588",nunc.risus@ipsum.ca,047584706/6982,12345944,1234570285
FO,LESKO JURAJ,Ševčenkova,Kameničany,Ilava,Trenčiansky kraj,"421,942,027,421",mollis@estMauris.com,519948723/8838,12345945,1234570294
FO,LESKO MARIAN,Šintavská,Kameničná,Komárno,Nitriansky kraj,"421,969,417,434",dictum@eu.edu,798069435/3823,12345946,1234570303
FO,LILOVA CHRISTINA,Špieszova,Ladice,Zlaté Moravce,Nitriansky kraj,"421,956,273,694",pede.nec.ante@AeneanmassaInteger.ca,493218417/8951,12345947,1234570312
FO,LINDEROVA KATARINA,Štefanovičova,Ladmovce,Trebišov,Košický kraj,"421,912,355,959",Duis@dapibusid.org,349637518/2035,12345948,1234570321
FO,LIPOVSKY LUBOMIR,Štefánikova,Ladomerská Vieska,Žiar nad Hronom,Banskobystrický kraj,"421,966,786,348",eget@sedsapien.com,663907830/0141,12345949,1234570330
FO,LIPTAKOVA SONA,Šustekova,Ladomirov,Snina,Prešovský kraj,"421,947,354,488",neque@metusAeneansed.com,931444941/2274,12345950,1234570339
FO,LISA IVETA,Šutráková,Ladomirová,Svidník,Prešovský kraj,"421,989,746,404",magna.nec@loremeumetus.org,095451090/0793,12345951,1234570348
FO,LISICKA DANA,Švabinského,Ladzany,Krupina,Banskobystrický kraj,"421,997,090,563",gravida@accumsannequeet.ca,795214639/1896,12345952,1234570357
FO,LISY LUBOMIR,Šášovská,Lakšárska Nová Ves,Senica,Trnavský kraj,"421,993,766,654",nisl@Quisquenonummyipsum.org,918759603/2241,12345953,1234570366
FO,Liška Milan,Zafírová,Lascov,Bardejov,Prešovský kraj,"421,927,503,474",cursus.purus@ipsumleoelementum.edu,248186149/2965,12345954,1234570375
FO,Lojdlová  Anna,Žehrianska,Laskár,Martin,Žilinský kraj,"421,993,192,020",tempor.lorem.eget@conubianostraper.com,873833921/5276,12345955,1234570384
FO,MACAJ MICHAL,Žitavská,Lastomír,Michalovce,Košický kraj,"421,975,282,457",lectus.sit@imperdiet.com,508011402/3747,12345956,1234570393
FO,MACUGA IVAN,Námestia,Lastovce,Trebišov,Košický kraj,"421,971,283,214",sed@Pellentesqueultricies.com,666225063/4036,12345957,1234570402
FO,Máčajová Lívia,Názov námestia,Laškovce,Michalovce,Košický kraj,"421,922,155,807",posuere.at.velit@amet.edu,188954944/1591,12345958,1234570411
FO,MAJDAKOVA JANA,Americké námestie,Látky,Detva,Banskobystrický kraj,"421,961,295,007",nulla.Cras.eu@Aeneanegetmetus.ca,738105877/1287,12345959,1234570420
FO,Majlingová Dana,Daliborovo námestie,Lazany,Prievidza,Trenčiansky kraj,"421,905,440,762",posuere@per.ca,628989878/4288,12345960,1234570429
FO,Mako Miroslav,Daxnerovo námestie,Lazisko,Liptovský Mikuláš,Žilinský kraj,"421,985,115,838",risus.at.fringilla@adipiscingfringillaporttitor.org,703711003/1618,12345961,1234570438
FO,Malá Erika,Dulovo námestie,Lazy pod Makytou,Púchov,Trenčiansky kraj,"421,973,583,537",neque@Donecat.org,421208497/3861,12345962,1234570447
FO,MALANKOVA TEREZIA,Floriánske námestie,Lažany,Prešov,Prešovský kraj,"421,979,709,551",libero.mauris@ut.ca,704691628/8399,12345963,1234570456
FO,MALECOVA MARIA,Františkánske námestie,Lednica,Púchov,Trenčiansky kraj,"421,987,783,418",urna@fermentummetus.com,605899112/2971,12345964,1234570465
FO,MALKOVA MARIA,Hlavné námestie,Lednické Rovne,Púchov,Trenčiansky kraj,"421,940,717,514",amet.risus@orci.edu,700328464/4716,12345965,1234570474
FO,MALYCHIN DMITRIJ,Hodžovo námestie,Legnava,Stará Ľubovňa,Prešovský kraj,"421,961,269,146",nunc.interdum.feugiat@odio.org,690687645/6477,12345966,1234570483
FO,MANIKOVA VIERA,Humenské námestie,Lehnice,Dunajská Streda,Trnavský kraj,"421,946,008,416",et.euismod.et@elit.com,696313427/6022,12345967,1234570492
FO,MARECEK JURAJ,Hurbanovo námestie,Lehota,Nitra,Nitriansky kraj,"421,979,371,084",et.malesuada.fames@Nullainterdum.org,560637543/4109,12345968,1234570501
FO,MARTINIKOVA MARTINA,Hviezdoslavovo námestie,Lehota nad Rimavicou,Rimavská Sobota,Banskobystrický kraj,"421,949,655,125",Donec@Pellentesque.ca,773440414/6488,12345969,1234570510
FO,MARTINKOVA EMILIA,Jakubovo námestie,Lehota pod Vtáčnikom,Prievidza,Trenčiansky kraj,"421,972,956,640",dis.parturient@eros.edu,259584290/5669,12345970,1234570519
FO,Martinková Jana,Jurigovo námestie,Lehôtka,Lučenec,Banskobystrický kraj,"421,981,606,193",nibh.enim.gravida@semsemper.edu,001108833/2373,12345971,1234570528
FO,Martiš Ján,Kamenné námestie,Lehôtka pod Brehmi,Žiar nad Hronom,Banskobystrický kraj,"421,969,107,827",erat.volutpat@tinciduntnibh.ca,848621217/0699,12345972,1234570537
FO,MATEJCIK VIKTOR,Karpatské námestie,Lechnica,Kežmarok,Prešovský kraj,"421,975,915,722",ac.fermentum.vel@Donec.com,656256367/3557,12345973,1234570546
FO,Mäsiar Anton,Kežmarské námestie,Lekárovce,Sobrance,Košický kraj,"421,902,893,594",montes.nascetur@mi.com,881629016/3285,12345974,1234570555
FO,MEDVEDOVA MARTINA,Kmeťovo námestie,Leles,Trebišov,Košický kraj,"421,976,755,515",est.arcu@enim.ca,081987440/0046,12345975,1234570564
FO,MEGO ROMAN,Kollárovo námestie,Leľa,Nové Zámky,Nitriansky kraj,"421,908,282,210",ultrices@dictumsapien.ca,881459266/5566,12345976,1234570573
FO,MEHESOVA SILVIA,Komenského námestie,Lemešany,Prešov,Prešovský kraj,"421,908,281,959",ut.erat@dignissimmagna.org,209059979/7532,12345977,1234570582
FO,Mechír Emil,Ľudové námestie,Lenartov,Bardejov,Prešovský kraj,"421,913,803,995",non.lorem.vitae@nonsollicitudina.edu,542001825/3280,12345978,1234570591
FO,MELICHERIK JURAJ,Malokarpatské námestie,Lenartovce,Rimavská Sobota,Banskobystrický kraj,"421,905,715,807",eu.elit.Nulla@utpellentesqueeget.edu,836508698/2979,12345979,1234570600
FO,MELUCH STEFAN,Mánesovo námestie,Lendak,Kežmarok,Prešovský kraj,"421,933,609,848",vulputate.dui.nec@euplacerateget.com,854270600/7189,12345980,1234570609
FO,Menkyová  Ingrid,Muchovo námestie,Lenka,Rimavská Sobota,Banskobystrický kraj,"421,979,170,228",lorem.tristique@telluseu.org,722620086/0620,12345981,1234570618
FO,MESZAROS MIKLOS,Námestie 1. mája,Lentvora,Lučenec,Banskobystrický kraj,"421,936,358,694",Duis.volutpat.nunc@blandit.org,549338880/6976,12345982,1234570627
FO,MESZAROSOVA DENISA,Námestie 6. apríla,Leopoldov,Hlohovec,Trnavský kraj,"421,919,592,384",erat@gravidanunc.org,948846162/4622,12345983,1234570636
FO,MICUDOVA TATIANA,Námestie Alexandra Dubčeka,Lesenice,Veľký Krtíš,Banskobystrický kraj,"421,910,356,629",pulvinar@Integertinciduntaliquam.org,339535038/4272,12345984,1234570645
FO,Mihál Andrej,Námestie Andreja Hlinku,Lesíček,Prešov,Prešovský kraj,"421,949,856,942",ac.metus.vitae@Nuncullamcorper.edu,241911490/8614,12345985,1234570654
FO,MICHALIK JOZEF,Námestie Biely kríž,Lesné,Michalovce,Košický kraj,"421,966,893,906",aliquet.lobortis@Nunc.org,861184480/8402,12345986,1234570663
FO,MICHALKOVA VIERA,Námestie hraničiarov,Lesnica,Stará Ľubovňa,Prešovský kraj,"421,947,342,740",Vivamus.non@fames.com,354177597/6116,12345987,1234570672
FO,MIKITOVA DARINA,Námestie Jána Kostru,Leštiny,Dolný Kubín,Žilinský kraj,"421,995,967,625",Sed.eu@Crasdolor.edu,102341962/8177,12345988,1234570681
FO,MIKLOSKOVA MARTA,Námestie Jána Pavla II.,Lešť (vojenský obvod),Zvolen,Banskobystrický kraj,"421,903,470,843",placerat@Sed.ca,151284725/5915,12345989,1234570690
FO,Miko František,Námestie Ľudovíta Štúra,Letanovce,Spišská Nová Ves,Košický kraj,"421,958,932,892",ac.nulla@montesnasceturridiculus.com,786848971/3810,12345990,1234570699
FO,MIKULAKOVA MARTINA,Námestie Martina Benku,Letničie,Skalica,Trnavský kraj,"421,942,813,847",aliquam.enim@Quisquenonummy.ca,101873496/2345,12345991,1234570708
FO,MILCOVA MILOSLAVA,Námestie slobody,Leváre,Revúca,Banskobystrický kraj,"421,998,067,556",vel.convallis.in@pedesagittis.edu,905152911/4901,12345992,1234570717
FO,MISCIKOVA JANKA,Námestie SNP,Luhyňa,Trebišov,Košický kraj,"421,995,068,587",dolor.egestas@aliquetmagna.edu,149341369/1030,12345993,1234570726
FO,Mižíková Alica,Námestie sv. Františka,Lúka,Nové Mesto nad Váhom,Trenčiansky kraj,"421,915,623,514",et@Sednecmetus.org,764114165/7848,12345994,1234570735
FO,MLADONICKA MIROSLAVA,Námestie sv. Petra a Pavla,Lukačovce,Humenné,Prešovský kraj,"421,986,067,028",odio.semper.cursus@tellus.ca,988000404/8185,12345995,1234570744
